AppID,Game Name,Copies,Owners
994560,Metal Revolution,1,Skalin
1022310,Warhammer Underworlds - Shadespire Edition,1,Skalin
1022710,Conglomerate 451,1,Skalin
1025440,Fantasy General II,2,"Skalin, V2B"
1030300,Hollow Knight: Silksong,1,Skalin
1035510,Ultimate Zombie Defense,2,"Skalin, V2B"
1037020,ScourgeBringer,1,Skalin
1038300,New Super Lucky's Tale,1,Skalin
1045180,Shattered - Tale of the Forgotten King,1,Skalin
1045610,Startup Panic,1,Skalin
1048540,Kao the Kangaroo: Round 2,1,Skalin
1049410,Superliminal,1,Skalin
1057090,Ori and the Will of the Wisps,1,Skalin
1058320,Toki,1,Skalin
1061180,Crumble,1,Skalin
1065310,Evil West,1,Skalin
1065320,Rekt!,1,Skalin
1067540,Röki,1,Skalin
1075740,Banners of Ruin,1,Skalin
1098940,Home Sweet Home EP2,1,Skalin
1108590,Eldest Souls,1,Skalin
1113000,Persona 4 Golden,1,Skalin
1123770,Curse of the Dead Gods,1,Skalin
1127400,Mindustry,1,Skalin
1144770,SLUDGE LIFE,1,Skalin
1147560,Skul: The Hero Slayer,1,Skalin
1150530,Wizard with a Gun,1,Skalin
1150760,Gloomwood,1,Skalin
1154810,Going Under,1,Skalin
1170760,XIII - Classic,1,Skalin
1179210,Kill It With Fire,1,Skalin
1180660,Tell Me Why,2,"Skalin, V2B"
1194260,KartRider: Drift Closed Beta,1,Skalin
1229380,Everhood,1,Skalin
1234430,Ad Infinitum,1,Skalin
1253710,Garbage,1,Skalin
1254120,Bless Unleashed,1,Skalin
1261520,Asterix & Obelix XXL,1,Skalin
1262240,Plants vs. Zombies: Battle for Neighborville,1,Skalin
1281720,Worms Rumble Open Beta,1,Skalin
1283400,Steelrising,1,Skalin
1290000,PowerWash Simulator,1,Skalin
1307970,Cyber Hook Demo,1,Skalin
1311540,"The Wake: Mourning Father, Mourning Mother",1,Skalin
1334730,Dread Templar,1,Skalin
1337520,Risk of Rain Returns,1,Skalin
1353230,Bomb Rush Cyberfunk,1,Skalin
1356040,Ampersat,1,Skalin
1356280,Kitaria Fables,1,Skalin
1368870,Field of Glory II: Medieval,2,"Skalin, V2B"
1369520,Strangeland,1,Skalin
1382330,Persona 5 Strikers,1,Skalin
1388880,Doki Doki Literature Club Plus!,1,Skalin
1399670,Instant Farmer,1,Skalin
1399750,Beholgar,1,Skalin
1422410,Into the Pit,1,Skalin
1422450,Deadlock,1,Skalin
1446780,MONSTER HUNTER RISE,3,"Skalin, Ogidor, V2B"
1450650,Osteoblasts,1,Skalin
1454730,Chenso Club,1,Skalin
1456760,ROBOBEAT,1,Skalin
1475840,RHYTHM SPROUT,1,Skalin
1480560,Lawn Mowing Simulator,1,Skalin
1492310,Asterix & Obelix Slap Them All!,1,Skalin
1501610,Nova Lands,1,Skalin
1506510,The Ramp,1,Skalin
1507190,Machinika Museum,1,Skalin
1533420,Neon White,1,Skalin
1573390,Lila’s Sky Ark,1,Skalin
1579020,Golfie,1,Skalin
1583230,High On Life,1,Skalin
1586800,Lil Gator Game,1,Skalin
1587130,Blood West,1,Skalin
1608450,Hellslave,1,Skalin
1627570,The Plucky Squire,1,Skalin
1637320,Dome Keeper,1,Skalin
1657630,Slime Rancher 2,1,Skalin
1658150,Moonstone Island,1,Skalin
1659040,HITMAN World of Assassination,1,Skalin
1661630,KarmaZoo,1,Skalin
1676130,Deadlink,1,Skalin
1687950,Persona 5 Royal,1,Skalin
1703140,Isle of Jura,1,Skalin
1740720,Have a Nice Death,1,Skalin
1785150,Friends vs Friends,1,Skalin
1817230,Hi-Fi RUSH,1,Skalin
1818750,MultiVersus,4,"Skalin, P3ngu0, Ogidor, V2B"
1868140,DAVE THE DIVER,1,Skalin
1875460,Midnight Ghost Hunt - Beta Test,1,Skalin
1887840,Another Crab's Treasure,1,Skalin
1890950,REAVER,1,Skalin
1922560,Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,1,Skalin
1966720,Lethal Company,3,"Skalin, P3ngu0, V2B"
2005010,"Warhammer 40,000: Boltgun",1,Skalin
2008510,Go Mecha Ball,1,Skalin
2019810,Boxes,1,Skalin
2071500,Islands of Insight,2,"Skalin, P3ngu0"
2118370,Bosorka,1,Skalin
2139020,What the Fog,1,Skalin
2162020,Strayed Lights,1,Skalin
2182630,Mob Factory,1,Skalin
2187290,Wall World,1,Skalin
2254740,Persona 5 Tactica,1,Skalin
2324560,Robocraft 2 Playtest,1,Skalin
2328750,My Little Universe,1,Skalin
2337860,Nubs!,1,Skalin
2379780,Balatro,1,Skalin
2543510,GUNTOUCHABLES,1,Skalin
2796010,Party Club,1,Skalin
2835570,Buckshot Roulette,1,Skalin
2881650,Content Warning,1,Skalin
2936120,Marvel Rivals Playtest,1,Skalin
2955840,Kitchen Wars,1,Skalin
2963880,Murky Divers,1,Skalin
3016800,Mecha BREAK Playtest,1,Skalin
3028500,Cakey's Twisted Bakery,1,Skalin
3062930,Unplagued,1,Skalin
3065170,Monster Hunter Wilds Beta test,3,"Skalin, Ogidor, V2B"
3213920,13Z Playtest,1,Skalin
3240220,Grand Theft Auto V Enhanced,3,"Skalin, P3ngu0, Ogidor"
3241660,R.E.P.O.,1,Skalin
3405340,Megabonk,1,Skalin
3463050,Dreams of Aether,1,Skalin
440,Team Fortress 2,1,P3ngu0
43110,Metro 2033,1,P3ngu0
319510,Five Nights at Freddy's,1,P3ngu0
351510,Quiplash,1,P3ngu0
729720,Zomborg,2,"P3ngu0, V2B"
739630,Phasmophobia,1,P3ngu0
945360,Among Us,1,P3ngu0
1515950,Capcom Arcade Stadium,1,P3ngu0
1599600,PlateUp!,1,P3ngu0
1671210,DELTARUNE,1,P3ngu0
2076040,THE FINALS PLAYTEST,1,P3ngu0
2638370,Five Nights at Freddy's: Into the Pit,1,P3ngu0
12200,Bully: Scholarship Edition,1,Ogidor
48190,Assassin's Creed Brotherhood,1,Ogidor
201870,Assassin's Creed Revelations,1,Ogidor
203160,Tomb Raider,1,Ogidor
209080,Guns of Icarus Online,1,Ogidor
234140,Mad Max,1,Ogidor
262060,Darkest Dungeon®,1,Ogidor
601150,Devil May Cry 5,1,Ogidor
608800,Guns of Icarus Alliance,1,Ogidor
977880,Eastward,1,Ogidor
1030840,Mafia: Definitive Edition,1,Ogidor
1151640,Horizon Zero Dawn™ Complete Edition,1,Ogidor
1198730,Hentai Police,1,Ogidor
1222680,Need for Speed™ Heat ,2,"Ogidor, V2B"
2161700,Persona 3 Reload,1,Ogidor
2272250,Forgive Me Father 2,1,Ogidor
7670,BioShock,1,V2B
8850,BioShock 2,1,V2B
8870,BioShock Infinite,1,V2B
292030,The Witcher 3: Wild Hunt,1,V2B
